ID,race,assigned,score,schoolpreferenceranking,schooltype
8971,1,4,668.018632618,1,5
38353,1,4,663.2614836482,1,5
2260,1,201,663.0444190414,1,4
2651,0,205,662.9581442524,1,4
35219,1,112,662.1912656276,1,5
31796,1,4,657.9096475884,1,5
38109,1,120,653.185006708,1,4
12639,1,208,652.2183783903,1,4
4750,1,112,651.4466501,1,5
15220,1,4,648.3690535235,1,5
15173,1,105,646.9216645273,1,4
19196,1,210,646.8809081859,1,4
23648,1,4,646.1129877053,1,5
33900,1,4,644.5183157736,1,5
31963,1,112,642.6830646246,1,5
10001,1,112,641.2111014574,1,5
32695,1,112,640.7503262022,1,5
30304,1,4,640.3505880123,1,5
21107,1,4,639.9162042503,1,5
26081,1,105,639.2379834687,1,4
25155,1,156,638.3158299743,1,4
39818,1,45,637.5184457155,1,4
16543,1,112,637.3634641176,1,5
3539,1,199,636.5855081655,1,4
3313,1,112,635.978132113,1,5
14641,1,15,635.6629948857,1,4
28228,1,208,635.6261621564,1,4
4815,1,208,635.4926363279,1,4
15344,1,4,635.3125135359,1,5
24895,1,120,632.8665997509,1,4
36237,1,4,632.4171609103,1,5
17982,1,112,632.3938177071,1,5
807,1,112,632.3658939701,1,5
34442,1,4,632.0434635095,1,5
21336,1,4,630.9273094406,1,5
32220,1,112,629.7414171552,1,5
10491,0,112,629.5049113068,1,5
14599,1,4,629.2206354142,1,5
1119,1,4,629.214623524,1,5
8743,1,4,629.1435355255,1,5
30274,1,112,628.8125598081,1,5
26283,1,112,628.4805583955,1,5
30912,0,4,628.4238769789,1,5
39129,1,112,627.7159252576,1,5
2666,1,112,626.9788053677,1,5
7574,1,4,625.80579978,1,5
28969,1,4,624.5830775443,1,5
33765,1,112,624.4679125049,1,5
37236,1,112,624.2451592616,1,5
28556,0,4,624.2324265385,1,5
33483,1,4,623.9447670384,1,5
6819,1,78,623.810576633,1,4
25326,1,143,623.3625402434,1,4
21110,1,4,623.2188315309,1,5
3506,1,112,623.0548619785,1,5
962,1,4,622.7207164888,1,5
22501,0,112,622.4130782233,1,5
19898,1,112,622.3276496959,1,5
28368,0,112,622.2506874834,1,5
5542,1,4,621.729128684,1,5
3250,1,4,621.5568439197,1,5
35924,1,4,621.3191961527,1,5
2012,1,162,621.2789769725,1,4
6441,1,112,620.4741318643,1,5
19400,1,179,620.4695866789,1,4
30745,1,112,619.7096125721,1,5
21633,1,4,619.3793849507,1,5
20706,1,112,619.3698453272,1,5
32089,1,112,619.2991802018,1,5
1262,1,4,619.0815822446,1,5
9209,1,4,618.9040761928,1,5
39792,1,112,618.8566903975,1,5
11587,1,112,618.7298049036,1,5
29192,1,112,618.5037284957,1,5
32871,1,112,618.3867769438,1,5
6022,1,151,618.2745910472,2,4
23696,1,112,618.0731137222,1,5
25844,1,112,617.5023157668,1,5
5073,1,112,617.321883498,1,5
11922,1,112,617.224329234,1,5
32115,1,54,617.0884677885,2,4
8661,1,112,616.9040261725,1,5
29827,1,112,616.6769145236,1,5
4961,1,78,616.5917410673,1,4
1838,1,112,615.9410120957,1,5
34030,1,95,615.8537887474,1,4
12744,1,126,615.6170148911,1,4
2593,0,112,615.520909823,1,5
10656,1,156,615.4365237156,2,4
37418,1,8,615.3765417923,2,4
29620,0,112,615.2138365032,2,5
11956,1,112,615.1532127159,2,5
27716,1,112,615.0046911556,1,5
15799,1,112,614.9508729634,1,5
4778,1,112,614.9462905069,2,5
20080,1,112,614.7697621899,1,5
7833,1,78,614.4257371037,1,4
2501,1,95,614.4015897994,2,4
39226,1,112,614.3999202857,1,5
37197,1,126,614.2296390599,1,4
21779,0,120,614.0151688694,2,4
12430,1,156,613.5364941938,1,4
30289,1,179,613.5050377334,1,4
1307,1,112,613.5034770829,1,5
17211,1,105,613.3537460146,2,4
9893,1,205,612.9152732755,2,4
7276,1,112,612.8610174592,1,5
4353,1,155,612.8291032518,2,4
16232,1,112,612.0537238169,1,5
27663,1,95,611.94184804,1,4
