ID,race,assigned,score,schoolpreferenceranking,schooltype
2651,0,205,677.95814425237,1,4
8971,1,4,668.018632617999,1,5
38353,1,4,663.261483648185,1,5
2260,1,201,663.044419041382,1,4
35219,1,112,662.191265627641,1,5
31796,1,4,657.909647588361,1,5
38109,1,120,653.185006708005,1,4
12639,1,208,652.218378390292,1,4
4750,1,112,651.446650100008,1,5
15220,1,4,648.369053523548,1,5
15173,1,105,646.921664527321,1,4
19196,1,210,646.880908185924,1,4
23648,1,4,646.11298770534,1,5
33900,1,4,644.518315773647,1,5
10491,0,112,644.504911306849,1,5
30912,0,4,643.42387697887,1,5
31963,1,112,642.683064624552,1,5
10001,1,112,641.21110145742,1,5
32695,1,112,640.750326202187,1,5
30304,1,4,640.350588012341,1,5
21107,1,4,639.916204250334,1,5
26081,1,105,639.237983468746,1,4
28556,0,4,639.232426538548,1,5
25155,1,156,638.315829974337,1,4
39818,1,45,637.518445715476,1,4
22501,0,112,637.413078223277,1,5
16543,1,112,637.363464117609,1,5
28368,0,112,637.250687483437,1,5
3539,1,199,636.585508165516,1,4
3313,1,112,635.978132113024,1,5
14641,1,15,635.662994885671,1,4
28228,1,208,635.626162156446,1,4
4815,1,208,635.492636327861,1,4
15344,1,4,635.312513535885,1,5
24895,1,120,632.866599750903,1,4
36237,1,4,632.417160910253,1,5
17982,1,112,632.3938177071,1,5
807,1,112,632.365893970119,1,5
34442,1,4,632.043463509499,1,5
21336,1,4,630.927309440587,1,5
2593,0,112,630.520909822995,1,5
29620,0,4,630.213836503189,1,5
32220,1,112,629.741417155203,1,5
14599,1,4,629.220635414241,1,5
1119,1,4,629.214623524007,1,5
8743,1,4,629.14353552552,1,5
21779,0,4,629.01516886938,1,5
30274,1,112,628.812559808127,1,5
26283,1,112,628.480558395451,1,5
39129,1,112,627.715925257607,1,5
2666,1,112,626.97880536772,1,5
7574,1,4,625.805799779955,1,5
10365,0,54,625.169947737593,1,4
28969,1,4,624.583077544313,1,5
33765,1,112,624.467912504894,1,5
20306,0,143,624.465170440995,1,4
37236,1,112,624.24515926157,1,5
33483,1,4,623.94476703844,1,5
6819,1,78,623.810576632961,1,4
25326,1,143,623.362540243363,1,4
19510,0,179,623.312152876298,1,4
21110,1,4,623.218831530872,1,5
3506,1,112,623.054861978466,1,5
962,1,4,622.720716488805,1,5
19898,1,112,622.327649695851,1,5
5542,1,4,621.729128684039,1,5
3250,1,4,621.556843919726,1,5
6702,0,4,621.4578258418,1,5
35924,1,4,621.319196152717,1,5
2012,1,162,621.278976972486,1,4
6441,1,112,620.474131864275,1,5
19400,1,179,620.46958667887,1,4
30745,1,112,619.709612572146,1,5
21633,1,207,619.379384950719,2,4
20706,1,112,619.369845327185,1,5
32089,1,112,619.299180201804,1,5
1262,1,156,619.081582244638,2,4
36816,0,112,619.078551255223,1,5
9209,1,155,618.904076192769,2,4
39792,1,112,618.85669039747,1,5
11587,1,112,618.729804903621,1,5
29192,1,112,618.503728495653,1,5
32871,1,112,618.386776943753,1,5
29047,0,112,618.360023012106,1,5
6022,1,151,618.274591047197,2,4
23696,1,112,618.073113722209,1,5
796,0,78,618.049425703837,2,4
25844,1,112,617.502315766789,1,5
5073,1,112,617.32188349804,1,5
11922,1,112,617.224329233973,1,5
24028,0,151,617.18063387167,1,4
32115,1,54,617.088467788452,2,4
8661,1,112,616.904026172509,1,5
29827,1,112,616.6769145236,1,5
4961,1,78,616.59174106729,1,4
1838,1,112,615.941012095705,1,5
34030,1,95,615.853788747425,1,4
12744,1,126,615.617014891064,1,4
10656,1,156,615.436523715551,2,4
37418,1,8,615.376541792262,2,4
11956,1,112,615.15321271585,2,5
27716,1,112,615.004691155568,1,5
15799,1,112,614.950872963381,1,5
4778,1,112,614.946290506874,2,5
20080,1,112,614.769762189912,1,5
34274,0,112,614.448460634778,1,5
7833,1,78,614.425737103727,1,4
2501,1,95,614.401589799438,2,4
39226,1,112,614.399920285651,1,5
37197,1,126,614.22963905987,1,4
12430,1,156,613.536494193785,1,4
30289,1,179,613.505037733375,1,4
1307,1,112,613.503477082946,1,5
17211,1,105,613.35374601456,2,4
9893,1,205,612.915273275493,2,4
7276,1,112,612.861017459191,1,5
4353,1,155,612.829103251831,2,4
16232,1,112,612.053723816917,1,5
858,0,112,612.041462207565,2,5
27663,1,95,611.941848039985,1,4
22324,1,112,611.836220925436,1,5
32026,1,78,611.249894336789,1,4
4445,0,112,610.861948206961,1,5
14552,1,201,610.855482481465,1,4
10126,1,112,610.784910139929,2,5
21491,1,112,610.625037203241,1,5
15503,0,41,610.520291140723,2,4
24093,1,120,610.469421223168,2,4
19882,0,179,610.439975225259,2,4
35778,1,112,610.329664724233,1,5
13360,1,112,610.300941262782,2,5
3866,1,210,610.163215069694,1,4
24944,1,112,610.060608193755,1,5
18003,1,112,609.999845130088,2,5
13664,1,112,609.817492160872,1,5
24844,1,112,609.367853181817,1,5
13126,1,112,609.027104167998,1,5
38419,1,112,608.928385464479,2,5
30130,1,112,608.91277677083,1,5
12833,0,151,608.672887886655,1,4
34779,1,112,608.662938958591,1,5
29514,1,112,608.489295796628,1,5
25782,0,112,608.325509163963,2,5
19054,1,208,608.317219889538,1,4
746,0,112,608.266745565053,2,5
25202,1,112,608.0668953719,1,5
27272,1,112,608.033098331894,1,5
25433,1,95,607.986199011789,2,4
9767,1,112,607.88064805774,2,5
2283,1,112,607.785931862334,2,5
26014,0,162,607.758662452011,1,4
39239,1,114,607.656628062821,2,4
22379,1,8,607.618111892737,1,4
18333,0,112,607.601504664011,1,5
16004,1,112,607.552532297193,1,5
6906,0,112,607.450954454672,1,5
18447,1,112,607.432450138791,2,5
14233,0,112,607.327857542973,1,5
24397,1,156,607.216299525091,2,4
24290,1,112,607.143324742581,1,5
35719,1,156,607.105508868939,1,4
14895,1,112,607.084852706623,1,5
10894,0,143,607.063832264844,2,4
35849,1,95,607.009039543741,2,4
20392,1,114,606.66118677641,1,4
34997,1,112,606.632353139828,1,5
12352,1,112,606.631618006924,1,5
